#-------------- Creating on pcbutt163 @ 2019-02-05 05:14:41.376226
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-05 05:14:41.376430
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.323878E-08 +4.752224E-09
1.0 +1.202369E-08 +4.919906E-09
2.0 +1.064098E-08 +5.590600E-09
3.0 +1.043149E-08 +5.842116E-09
4.0 +1.064100E-08 +5.213334E-09
5.0 +1.051530E-08 +5.800191E-09
6.0 +9.844884E-09 +6.345132E-09
7.0 +1.034769E-08 +6.345139E-09
8.0 +1.055720E-08 +6.135542E-09
9.0 +9.593499E-09 +5.590602E-09
10.0 +1.093429E-08 +6.261295E-09
11.0 +9.048808E-09 +6.596631E-09
12.0 +9.425895E-09 +6.009781E-09
13.0 +8.923092E-09 +8.734482E-09
14.0 +1.114379E-08 +6.890070E-09
15.0 +1.047338E-08 +8.105694E-09
16.0 +9.509694E-09 +6.512798E-09
17.0 +1.118568E-08 +6.596629E-09
18.0 +9.635379E-09 +7.518846E-09
19.0 +9.970570E-09 +6.009769E-09
20.0 +1.001249E-08 +7.435008E-09
21.0 +9.509678E-09 +6.680476E-09
22.0 +9.048787E-09 +6.219378E-09
23.0 +1.059908E-08 +6.638567E-09
24.0 +9.719194E-09 +7.602673E-09
25.0 +1.064100E-08 +6.890073E-09
26.0 +8.797382E-09 +6.931987E-09
27.0 +1.051529E-08 +7.728443E-09
28.0 +9.844889E-09 +6.680480E-09
29.0 +1.013821E-08 +6.009778E-09
30.0 +1.273598E-08 +7.644591E-09
31.0 +9.006891E-09 +5.967849E-09
32.0 +9.425884E-09 +8.357205E-09
33.0 +1.051529E-08 +8.105708E-09
34.0 +1.089239E-08 +7.267331E-09
35.0 +1.080858E-08 +6.931981E-09
36.0 +1.311308E-08 +7.435011E-09
37.0 +1.420248E-08 +6.596628E-09
38.0 +1.550137E-08 +7.686516E-09
39.0 +1.751257E-08 +6.931987E-09
40.0 +2.233106E-08 +7.015816E-09
41.0 +2.719144E-08 +7.267333E-09
42.0 +3.309933E-08 +7.351167E-09
43.0 +4.076639E-08 +8.273364E-09
44.0 +5.186889E-08 +7.141583E-09
45.0 +7.063840E-08 +7.141565E-09
46.0 +9.376514E-08 +6.177457E-09
47.0 +1.201178E-07 +6.848145E-09
48.0 +1.666227E-07 +6.931979E-09
49.0 -1.060921E-07 +7.770356E-09
50.0 +2.913477E-07 +8.776398E-09
50.0 +2.523841E-07 +6.596634E-09
49.0 +1.422809E-07 +6.638557E-09
48.0 +8.450605E-08 +5.884031E-09
47.0 +5.144993E-08 +5.213327E-09
46.0 +3.217753E-08 +7.351167E-09
45.0 +2.350425E-08 +5.716356E-09
44.0 +1.663268E-08 +5.171419E-09
43.0 +1.298738E-08 +4.458795E-09
42.0 +1.315498E-08 +5.087583E-09
41.0 +9.383989E-09 +4.584556E-09
40.0 +1.143709E-08 +4.081540E-09
39.0 +9.844880E-09 +5.800191E-09
38.0 +1.085047E-08 +5.590604E-09
37.0 +1.093429E-08 +4.710301E-09
36.0 +1.064099E-08 +3.830021E-09
35.0 +1.026390E-08 +4.710303E-09
34.0 +1.005438E-08 +3.830019E-09
33.0 +1.101809E-08 +4.794153E-09
32.0 +1.043149E-08 +5.297168E-09
31.0 +1.005440E-08 +4.249213E-09
30.0 +1.043149E-08 +4.584549E-09
29.0 +1.080859E-08 +4.374960E-09
28.0 +1.034768E-08 +4.794146E-09
27.0 +9.551602E-09 +5.716348E-09
26.0 +1.231697E-08 +5.087571E-09
25.0 +9.970575E-09 +3.746181E-09
24.0 +9.970581E-09 +5.381001E-09
23.0 +1.164658E-08 +5.003740E-09
22.0 +1.059910E-08 +3.871935E-09
21.0 +1.114379E-08 +7.518847E-09
20.0 +9.509689E-09 +4.542642E-09
19.0 +8.126985E-09 +4.374954E-09
18.0 +3.327832E-07 +4.919900E-09
17.0 +1.038958E-08 +5.045655E-09
16.0 +1.059909E-08 +8.357214E-09
15.0 +9.886811E-09 +5.129496E-09
14.0 +1.093430E-08 +4.039624E-09
13.0 +9.802989E-09 +4.416874E-09
12.0 +1.143707E-08 +4.207298E-09
11.0 +1.080858E-08 +4.710306E-09
10.0 +9.509677E-09 +3.285079E-09
9.0 +9.174487E-09 +4.081536E-09
8.0 +1.043149E-08 +4.039618E-09
7.0 +1.093428E-08 +4.961827E-09
6.0 +1.097618E-08 +5.045668E-09
5.0 +1.013820E-08 +3.830021E-09
4.0 +1.043147E-08 +3.871946E-09
3.0 +1.055719E-08 +3.913862E-09
2.0 +3.320708E-07 +3.536595E-09
1.0 +1.080858E-08 +5.129481E-09
0.0 +1.093429E-08 +3.997697E-09
#
#----------------------- FOOTER ------------------------------------
# DEV_1 VDS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,4033786,C32   Oct  4 2010 14:20:11/A02  /T/K
