# INIT TIME STEP TEST ..................................................  
# VDS       : 0.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# NPLC      : 1.0
# DELETE    : 0.0
# :: ----------------------------------- TIME --------------------------------------
# ::     Time 	 IDS 	 IGS 	 VDS 	 VGS 	 XPIN 	 | Shutter | 	 Delta Time	     
# :: -------------------------------------------------------------------------------
7.7000 -1.059693E-06 +4.668391E-09 0.0 0.0 -5.385754E-13 | 0 | 0.2000
7.8000 -1.059860E-06 +5.045662E-09 0.0 0.0 +3.040622E-13 | 0 | 0.1000
7.9000 -1.061286E-06 +5.255256E-09 0.0 0.0 +1.363559E-13 | 0 | 0.1000
8.0000 -1.059148E-06 +4.961819E-09 0.0 0.0 -5.486783E-13 | 0 | 0.1000
8.2000 -1.058562E-06 +5.548684E-09 0.0 0.0 +5.364278E-13 | 0 | 0.2000
8.3000 -1.059064E-06 +5.506775E-09 0.0 0.0 -5.284716E-13 | 0 | 0.1000
8.4000 -1.059358E-06 +4.752221E-09 0.0 0.0 +2.474864E-13 | 0 | 0.1000
8.6000 -1.059945E-06 +5.674448E-09 0.0 0.0 +2.010140E-13 | 0 | 0.2000
8.7000 -1.059106E-06 +5.842110E-09 0.0 0.0 -6.497187E-13 | 0 | 0.1000
8.8000 -1.059987E-06 +5.087577E-09 0.0 0.0 +5.263245E-13 | 0 | 0.1000
8.9000 -1.059944E-06 +6.387052E-09 0.0 0.0 -5.062428E-13 | 0 | 0.1000
9.1000 -1.060112E-06 +5.632527E-09 0.0 0.0 +2.394043E-13 | 0 | 0.2000
9.2000 -1.060867E-06 +5.339080E-09 0.0 0.0 +2.070756E-13 | 0 | 0.1000
9.3000 -1.059232E-06 +5.842119E-09 0.0 0.0 -4.920961E-13 | 0 | 0.1000
9.4000 -1.060489E-06 +5.129500E-09 0.0 0.0 +4.091319E-13 | 0 | 0.1000
9.6000 -1.058268E-06 +5.506763E-09 0.0 0.0 -4.516810E-13 | 0 | 0.2000
9.7000 -1.058227E-06 +6.764322E-09 0.0 0.0 +1.969726E-13 | 0 | 0.1000
9.8000 -1.059023E-06 +4.333048E-09 0.0 0.0 +2.919395E-13 | 0 | 0.1000
9.9000 -1.060447E-06 +4.919896E-09 0.0 0.0 -4.941168E-13 | 0 | 0.1000
10.1000 -1.059399E-06 +6.093615E-09 0.0 0.0 +4.596456E-13 | 0 | 0.2000
10.2000 -1.061075E-06 +6.303212E-09 0.0 0.0 -4.819934E-13 | 0 | 0.1000
10.3000 -1.058604E-06 +4.961833E-09 0.0 0.0 +1.714291E-14 | 0 | 0.1000
10.5000 -1.060238E-06 +5.087583E-09 0.0 0.0 +3.444741E-13 | 0 | 0.2000
10.6000 -1.060112E-06 +5.842107E-09 0.0 0.0 -5.911153E-13 | 0 | 0.1000
10.7000 -1.059525E-06 +4.710299E-09 0.0 0.0 +4.192343E-13 | 0 | 0.1000
10.8000 -1.058981E-06 +5.171415E-09 0.0 0.0 -4.456187E-13 | 0 | 0.1000
11.0000 -1.059526E-06 +5.422934E-09 0.0 0.0 -5.358187E-14 | 0 | 0.2000
11.1000 -1.059023E-06 +5.800195E-09 0.0 0.0 +4.131735E-13 | 0 | 0.1000
11.2000 -1.059442E-06 +5.087583E-09 0.0 0.0 -6.274895E-13 | 0 | 0.1000
11.3000 -1.059065E-06 +4.123453E-09 0.0 0.0 +4.657071E-13 | 0 | 0.1000
11.5000 -1.060364E-06 +5.213336E-09 0.0 0.0 -2.960790E-13 | 0 | 0.2000
11.6000 -1.059023E-06 +6.345132E-09 0.0 0.0 -2.124891E-14 | 0 | 0.1000
11.7000 -1.059945E-06 +5.758271E-09 0.0 0.0 +4.010505E-13 | 0 | 0.1000
11.8000 -1.059316E-06 +4.919914E-09 0.0 0.0 -6.436565E-13 | 0 | 0.1000
